Time,Temperature,Pressure,Altitude,Pitch,Yaw,Roll,AccelX,AccelY,AccelZ,ServoX,ServoY
0,41.72,1008.08,-58.44,0.01,-0.19,1.23,-23.07,5.9,1.94,1.1,0.34
6,41.72,1009.35,-93.23,0.21,0.09,1.38,-27.51,1.03,-2.43,1.1,0.34
23,41.72,1011.89,-162.72,0.36,0.61,-1.89,-34.88,-2.54,-4.66,1.1,0.34
40,41.72,1011.51,-152.33,0.72,0.33,-1.66,-40.09,3.4,4.58,1.1,0.34
57,41.71,1009.82,-106.1,0.06,0.12,-1.09,-42.75,0.72,-1.81,1.1,0.34
74,41.71,1007.79,-50.49,-0.79,-0.34,-0.17,-35.95,-9.29,5.97,1.1,0.34
91,41.72,1006.42,-12.9,-1.91,-1.2,0.14,-39.48,-2.87,4.87,6.98,4.53
108,41.74,1007.1,-31.56,-3.34,-2.41,0.55,-36.38,-4.92,3.31,6.98,4.53
125,41.77,1006.16,-5.76,-5.04,-3.81,0.88,-31.06,-3.19,3.3,6.98,4.53
142,41.81,1006.62,-18.39,-6.82,-5.52,1.66,-29.22,-2.16,2.58,6.98,4.53
159,41.84,1006.06,-3.02,-8.76,-7.31,2.66,-24.7,-2.17,2.59,6.98,4.53
176,41.86,1005.84,3.02,-10.89,-9.27,3.94,-23.74,-1.75,2.27,6.98,4.53
193,41.89,1006.05,-2.75,-13.29,-11.41,4.96,-21.66,-1.64,2.18,25,25
210,41.93,1006.25,-8.24,-15.84,-13.77,6.53,-21.05,-1.14,2.07,25,25
227,41.98,1006.24,-7.96,-18.48,-16.3,8.08,-20.08,-0.07,-0.29,25,25
244,42,1006.03,-2.2,-21.27,-18.63,9.72,-19.14,1.09,-1.24,25,25
261,42.03,1006.11,-4.39,-23.96,-20.96,11.44,-20.35,2.1,-1.61,25,25
278,42.06,1006.31,-9.88,-26.51,-23.04,13.24,-20.87,3.02,-1.07,25,25
295,42.1,1006.26,-8.51,-28.94,-25.03,15.05,-20.04,2.86,-0.81,25,25
312,42.13,1006.08,-3.57,-31.4,-26.94,16.92,-19.79,2.89,-0.99,25,25
329,42.17,1006.16,-5.76,-33.77,-28.52,18.64,-19.5,2.79,-1.34,25,25
346,42.22,1006.15,-5.49,-35.98,-29.9,20.2,-18.79,2.74,-1.17,25,25
363,42.23,1005.93,0.55,-38.14,-31.23,21.93,-19.34,2.72,-1.02,25,25
380,42.27,1006.14,-5.22,-40.29,-32.4,23.65,-18.54,3.11,-0.75,25,25
397,42.3,1005.96,-0.27,-42.45,-33.06,24.87,-19.25,2.83,-0.93,25,25
414,42.35,1006.08,-3.57,-44.64,-33.46,26.16,-17.51,3.35,-1.57,25,25
431,42.39,1006.03,-2.2,-46.76,-33.83,27.29,-17.85,2.79,-1.54,25,25
448,42.42,1005.98,-0.82,-48.9,-33.87,28.07,-17.08,2.69,-1.32,25,25
465,42.46,1006.05,-2.75,-51.19,-33.44,28.5,-17.47,2.76,-1.56,25,25
482,42.49,1005.88,1.92,-53.38,-32.5,28.37,-16.7,2.3,-1.71,25,25
499,42.52,1005.95,0,-55.59,-31.31,28.19,-17.5,2.9,-1.83,25,25
516,42.54,1005.48,12.91,-57.7,-29.46,27.63,-17.04,2.74,-1.18,25,25
533,42.58,1006.07,-3.29,-59.88,-26.69,26.14,-18.01,3.07,-1.02,25,25
550,42.61,1005.77,4.94,-62.06,-23.32,24.03,-17.51,2.92,-0.76,25,25
567,42.64,1005.72,6.32,-63.86,-18.74,20.77,-17.19,2.77,-1.18,25,25
584,42.68,1005.79,4.39,-65.62,-13.01,16.45,-16.76,2.47,-1.71,25,25
601,42.7,1005.7,6.87,-67.33,-5.78,10.78,-17.47,2.62,-1.65,25,-25
618,42.73,1005.91,1.1,-68.36,3.36,3.12,-17.83,2.12,-2.03,25,-25
635,42.75,1005.69,7.14,-68.83,13.7,-5.72,-18.13,1.87,-0.63,25,-25
652,42.78,1005.77,4.94,-68.53,24.78,-15.27,-16.63,2.38,-0.42,25,-25
669,42.8,1005.81,3.84,-67.43,35.49,-24.38,-17.38,1.89,1.05,25,-25
686,42.83,1005.76,5.22,-65.56,45.73,-32.79,-17.27,1.27,1.8,25,-25
703,42.85,1005.8,4.12,-63.09,55.37,-40.37,-18.64,1.02,2.84,25,-25
720,42.87,1005.84,3.02,-60.1,64.37,-47.01,-18.47,0.6,4.57,25,-25
737,42.88,1005.62,9.06,-56.7,72.64,-52.17,-18.16,0.54,4.31,25,-25
754,42.92,1005.44,14.01,-52.94,80.04,-56.43,-18.29,-0.05,4.7,25,-25
771,42.93,1005.35,16.48,-48.57,87.2,-59.63,-19.11,-0.46,4.85,25,-25
788,42.95,1005.52,11.81,-43.88,93.93,-61.96,-18.61,-0.7,4.06,25,-25
805,42.97,1005.56,10.71,-39,100.21,-63.61,-19.86,-1.07,5.1,-25,-25
822,42.98,1005.72,6.32,-33.64,106.28,-64.19,-20.49,-1.28,4.51,-25,-25
839,43,1005.38,15.66,-27.71,111.92,-63.95,-20.58,-3.36,5.81,-25,-25
856,43,1005.89,1.65,-21.65,117.67,-63.06,-19.71,-3.78,5.27,-25,-25
873,43.02,1005.93,0.55,-15.61,123.34,-61.32,-18.98,-5.18,4,-25,-25
890,43.04,1005.71,6.59,-9.62,129.13,-58.98,-19.19,-6.44,4.59,-25,-25
907,43.05,1005.62,9.06,-3.92,134.71,-55.88,-16.06,-13.8,6.24,-25,-25
924,43.07,1005.54,11.26,1.37,140.12,-52.42,-13.97,-7.58,6.98,-25,-25
941,43.09,1005.83,3.3,6.1,145.57,-48.37,-17.89,-7.81,5.44,-25,-25
958,43.1,1006,-1.37,10.49,151.02,-43.62,-17.27,-8.03,6.03,-25,-25
975,43.1,1005.74,5.77,14.23,156.53,-38.32,-16.71,-7.13,6.35,-25,-25
992,43.1,1005.74,5.77,17.34,162.24,-32.63,-16.89,-7.17,6.43,-25,-25
1009,43.12,1005.78,4.67,19.93,168.01,-26.7,-17.4,-7.02,5.98,-25,-25
1026,43.14,1006.07,-3.29,21.66,173.93,-20.43,-15.53,-6.83,5.34,-25,-25
1043,43.14,1006.07,-3.29,22.75,179.6,-13.91,-16.68,-6.79,5.54,-25,-25
1060,43.16,1006.11,-4.39,23.37,-174.73,-7.63,-15.92,-5.37,5.44,-25,-25
1077,43.16,1005.86,2.47,23.57,-169.62,-0.89,-16.76,-5.82,5.76,-25,-25
1094,43.16,1005.73,6.04,22.97,-164.79,5.31,-16.9,-5.33,5.23,-25,-25
1111,43.17,1005.9,1.37,22.11,-160.49,11.29,-16.14,-5.67,5.81,-25,25
1128,43.17,1006.02,-1.92,20.91,-156.73,16.9,-15.94,-5.54,5.53,-25,25
1145,43.17,1006.02,-1.92,19.53,-153.45,22.59,-15.73,-5.61,6.52,-25,25
1162,43.17,1005.9,1.37,18.18,-150.74,27.8,-16.11,-4.3,2.77,-25,25
1179,43.19,1005.93,0.55,16.6,-148.69,32.83,-15.31,-5.54,4.95,-25,25
1196,43.19,1005.93,0.55,15.18,-146.96,37.7,-16.4,-3.57,1.26,-25,25
1213,43.19,1005.93,0.55,14.13,-145.43,42.41,-16.12,-4.48,1.46,10.33,25
1230,43.21,1005.97,-0.55,13.58,-144.13,46.9,-15.32,-4.07,-0.05,10.33,25
1247,43.21,1006.1,-4.12,13.36,-143.01,51.25,-15.19,-3.52,-0.52,10.33,25
1264,43.21,1006.1,-4.12,13.59,-141.87,55.35,-16.11,-3.88,0.45,10.33,25
1281,43.21,1005.97,-0.55,14.18,-140.76,59.31,-15.3,-0.84,1.17,10.33,25
1298,43.21,1005.84,3.02,15.04,-139.34,63.29,-14.68,-0.7,1.35,10.33,25
1315,43.21,1005.84,3.02,16.08,-137.32,67.49,-15.41,0.4,0.26,-21.42,25
1332,43.21,1005.97,-0.55,17.1,-135.36,71.27,-17.71,0.92,0.56,-21.42,25
1349,43.21,1005.84,3.02,18.13,-133.2,75.61,-15.75,0.31,0.66,-21.42,25
1366,43.21,1005.97,-0.55,19.51,-130.65,80.04,-15.45,-2.37,1.12,-21.42,25
1383,43.21,1005.97,-0.55,21.03,-127.92,84.24,-12.38,-9.27,0.39,-21.42,25
1400,43.21,1005.97,-0.55,22.88,-124.83,88.69,-15.74,-2.83,0.31,-21.42,25
1417,43.21,1005.97,-0.55,25.17,-121.46,93.3,-15.59,-1.83,0.73,-25,25
1434,43.21,1005.84,3.02,27.68,-117.73,98.03,-15.12,-1.6,-0.16,-25,25
1451,43.21,1005.97,-0.55,30.65,-113.4,103.18,-15.96,-0.88,0.43,-25,25
1468,43.21,1005.97,-0.55,33.39,-108.11,108.83,-16.9,-0.89,0.07,-25,25
1485,43.22,1006.01,-1.65,36.21,-102.09,114.89,-17.81,-1,-0.45,-25,25
1502,43.21,1005.84,3.02,38.8,-94.96,121.76,-18.43,-0.59,0.08,-25,25
1519,43.21,1005.84,3.02,40.98,-86.79,129.8,-17.41,-1.22,-0.29,-25,-16.63
1536,43.22,1006.14,-5.22,42.73,-77.53,138.59,-18.71,0.12,-0.15,-25,-16.63
1553,43.21,1005.97,-0.55,43.75,-67.36,148.12,-18.99,-0.41,-0.45,-25,-16.63
1570,43.21,1006.23,-7.69,43.86,-56.38,158.27,-19.01,-0.96,-0.9,-25,-16.63
1587,43.21,1006.48,-14.55,42.82,-45.29,168.33,-20.81,-1.2,1.19,-25,-16.63
1604,43.21,1006.23,-7.69,41.03,-34.11,177.98,-21.51,-0.95,1.7,-25,-16.63
1621,43.21,1006.23,-7.69,38.34,-23.4,-172.95,-21.23,-0.7,3.83,-25,-25
1638,43.21,1006.36,-11.26,34.97,-13.33,-164.57,-21.09,-2.15,3.02,-25,-25
1655,43.19,1006.57,-17.02,31.31,-3.61,-156.61,-21.96,-1.83,4.07,-25,-25
1672,43.14,995.74,281.52,32.57,5.26,-142.01,-156.91,-156.91,-156.91,-25,-25
1689,43.21,1006.1,-4.12,39.07,-19.96,-132.22,-10.04,-31.34,-87.46,-25,-25
1706,43.21,1006.48,-14.55,41.28,-44.79,-124.79,-26.16,-14.48,3.02,-25,-25
1723,43.19,1005.93,0.55,39.1,-68.5,-115.86,-16.98,26.6,-11.69,-25,25
1740,43.19,1006.32,-10.16,33.66,-87.71,-102.71,-13.83,-36.45,-21.37,-25,25
1757,43.19,1006.06,-3.02,25.84,-103.85,-85.11,-26.38,-16.33,-8.01,-25,25
1774,43.21,1008.78,-77.62,26.18,-105.46,-51.32,28.86,156.91,-63.17,-25,25
1791,43.19,1006.44,-13.45,23.07,-103.85,-19.9,-36.27,-13.59,-14.03,-25,25
1808,43.17,1005.9,1.37,18.97,-101.97,14.73,-19.71,-22.93,12.31,-25,25
1825,43.17,1006.02,-1.92,14.82,-100.88,49.24,-17.38,-30.15,-14.85,25,25
1842,43.17,1005.9,1.37,10.5,-100.57,83.75,-9.73,-23.8,-9.23,25,25
1859,43.16,1006.49,-14.82,4.49,-97.24,113.65,-1.83,-14.93,-5.32,25,25
1876,43.16,1006.24,-7.96,-0.19,-96.93,144.79,-3.94,-15.04,-2.3,25,25
1893,43.16,1006.11,-4.39,-5.09,-96.05,177.35,-7.47,-18.39,-9.8,25,25
1910,43.16,1006.37,-11.53,-10.12,-95.11,-153.91,-11.43,-21.29,-4.51,25,25
1927,43.16,1006.11,-4.39,-14.76,-93.34,-125.66,-14.93,-19.11,-5.73,25,25
1944,43.16,1005.98,-0.82,-19.38,-90.04,-94.84,-18.43,-16.82,-8.62,25,25
1961,43.14,1005.95,0,-24.72,-86.1,-69.08,-25.53,-14.58,-12.31,25,25
1978,43.14,1005.56,10.71,-30.64,-80.83,-43.59,6.16,-8.87,-67.27,25,25
1995,43.14,1007.09,-31.29,-35.94,-84.85,-46.47,-40.58,60.14,-54.83,25,25
2012,43.14,1005.31,17.58,-40.44,-86.43,-57.25,-156.91,156.91,-107.99,25,25
2029,43.12,1005.65,8.24,-47.06,-74.17,-81.57,38.15,22.92,12.6,25,17.98
2046,43.12,1005.52,11.81,-50.89,-72.16,-99.02,-68.8,-20.68,-5.13,25,17.98
2063,43.1,1005.23,19.78,-54.18,-70.2,-114.57,-15.35,-7.16,-5.44,25,17.98
2080,43.12,1005.91,1.1,-57.3,-69.04,-130.41,-29.34,-7.25,-0.39,25,17.98
2097,43.1,1004.97,26.92,-62.17,-69.47,-143.19,-10.04,3.38,-6.45,25,17.98
2114,43.1,1003.83,58.26,-66.05,-69.45,-154.39,-14.81,3.72,4.1,25,17.98
2131,43.1,1001.15,132.06,-68.2,-68.75,-170.8,-12,9.43,-8.17,25,25
2148,43.09,1005.96,-0.27,-72.29,-66.01,172.37,-16.57,0.1,-3.19,25,25
2165,43.09,1005.06,24.45,-75.06,-59.19,148.25,-5.62,7.14,7.04,25,25
0,41.72,1008.08,-58.44,0.01,-0.19,1.23,-23.07,5.9,1.94,1.1,0.34
6,41.72,1009.35,-93.23,0.21,0.09,1.38,-27.51,1.03,-2.43,1.1,0.34
23,41.72,1011.89,-162.72,0.36,0.61,-1.89,-34.88,-2.54,-4.66,1.1,0.34
40,41.72,1011.51,-152.33,0.72,0.33,-1.66,-40.09,3.4,4.58,1.1,0.34
57,41.71,1009.82,-106.1,0.06,0.12,-1.09,-42.75,0.72,-1.81,1.1,0.34
74,41.71,1007.79,-50.49,-0.79,-0.34,-0.17,-35.95,-9.29,5.97,1.1,0.34
91,41.72,1006.42,-12.9,-1.91,-1.2,0.14,-39.48,-2.87,4.87,6.98,4.53
108,41.74,1007.1,-31.56,-3.34,-2.41,0.55,-36.38,-4.92,3.31,6.98,4.53
125,41.77,1006.16,-5.76,-5.04,-3.81,0.88,-31.06,-3.19,3.3,6.98,4.53
142,41.81,1006.62,-18.39,-6.82,-5.52,1.66,-29.22,-2.16,2.58,6.98,4.53
159,41.84,1006.06,-3.02,-8.76,-7.31,2.66,-24.7,-2.17,2.59,6.98,4.53
176,41.86,1005.84,3.02,-10.89,-9.27,3.94,-23.74,-1.75,2.27,6.98,4.53
193,41.89,1006.05,-2.75,-13.29,-11.41,4.96,-21.66,-1.64,2.18,25,25
210,41.93,1006.25,-8.24,-15.84,-13.77,6.53,-21.05,-1.14,2.07,25,25
227,41.98,1006.24,-7.96,-18.48,-16.3,8.08,-20.08,-0.07,-0.29,25,25
244,42,1006.03,-2.2,-21.27,-18.63,9.72,-19.14,1.09,-1.24,25,25
261,42.03,1006.11,-4.39,-23.96,-20.96,11.44,-20.35,2.1,-1.61,25,25
278,42.06,1006.31,-9.88,-26.51,-23.04,13.24,-20.87,3.02,-1.07,25,25
295,42.1,1006.26,-8.51,-28.94,-25.03,15.05,-20.04,2.86,-0.81,25,25
312,42.13,1006.08,-3.57,-31.4,-26.94,16.92,-19.79,2.89,-0.99,25,25
329,42.17,1006.16,-5.76,-33.77,-28.52,18.64,-19.5,2.79,-1.34,25,25
346,42.22,1006.15,-5.49,-35.98,-29.9,20.2,-18.79,2.74,-1.17,25,25
363,42.23,1005.93,0.55,-38.14,-31.23,21.93,-19.34,2.72,-1.02,25,25
380,42.27,1006.14,-5.22,-40.29,-32.4,23.65,-18.54,3.11,-0.75,25,25
397,42.3,1005.96,-0.27,-42.45,-33.06,24.87,-19.25,2.83,-0.93,25,25
414,42.35,1006.08,-3.57,-44.64,-33.46,26.16,-17.51,3.35,-1.57,25,25
431,42.39,1006.03,-2.2,-46.76,-33.83,27.29,-17.85,2.79,-1.54,25,25
448,42.42,1005.98,-0.82,-48.9,-33.87,28.07,-17.08,2.69,-1.32,25,25
465,42.46,1006.05,-2.75,-51.19,-33.44,28.5,-17.47,2.76,-1.56,25,25
482,42.49,1005.88,1.92,-53.38,-32.5,28.37,-16.7,2.3,-1.71,25,25
499,42.52,1005.95,0,-55.59,-31.31,28.19,-17.5,2.9,-1.83,25,25
516,42.54,1005.48,12.91,-57.7,-29.46,27.63,-17.04,2.74,-1.18,25,25
533,42.58,1006.07,-3.29,-59.88,-26.69,26.14,-18.01,3.07,-1.02,25,25
550,42.61,1005.77,4.94,-62.06,-23.32,24.03,-17.51,2.92,-0.76,25,25
567,42.64,1005.72,6.32,-63.86,-18.74,20.77,-17.19,2.77,-1.18,25,25
584,42.68,1005.79,4.39,-65.62,-13.01,16.45,-16.76,2.47,-1.71,25,25
601,42.7,1005.7,6.87,-67.33,-5.78,10.78,-17.47,2.62,-1.65,25,-25
618,42.73,1005.91,1.1,-68.36,3.36,3.12,-17.83,2.12,-2.03,25,-25
635,42.75,1005.69,7.14,-68.83,13.7,-5.72,-18.13,1.87,-0.63,25,-25
652,42.78,1005.77,4.94,-68.53,24.78,-15.27,-16.63,2.38,-0.42,25,-25
669,42.8,1005.81,3.84,-67.43,35.49,-24.38,-17.38,1.89,1.05,25,-25
686,42.83,1005.76,5.22,-65.56,45.73,-32.79,-17.27,1.27,1.8,25,-25
703,42.85,1005.8,4.12,-63.09,55.37,-40.37,-18.64,1.02,2.84,25,-25
720,42.87,1005.84,3.02,-60.1,64.37,-47.01,-18.47,0.6,4.57,25,-25
737,42.88,1005.62,9.06,-56.7,72.64,-52.17,-18.16,0.54,4.31,25,-25
754,42.92,1005.44,14.01,-52.94,80.04,-56.43,-18.29,-0.05,4.7,25,-25
771,42.93,1005.35,16.48,-48.57,87.2,-59.63,-19.11,-0.46,4.85,25,-25
0,41.72,1008.08,-58.44,0.01,-0.19,1.23,-23.07,5.9,1.94,1.1,0.34
6,41.72,1009.35,-93.23,0.21,0.09,1.38,-27.51,1.03,-2.43,1.1,0.34
23,41.72,1011.89,-162.72,0.36,0.61,-1.89,-34.88,-2.54,-4.66,1.1,0.34
40,41.72,1011.51,-152.33,0.72,0.33,-1.66,-40.09,3.4,4.58,1.1,0.34
57,41.71,1009.82,-106.1,0.06,0.12,-1.09,-42.75,0.72,-1.81,1.1,0.34
74,41.71,1007.79,-50.49,-0.79,-0.34,-0.17,-35.95,-9.29,5.97,1.1,0.34
91,41.72,1006.42,-12.9,-1.91,-1.2,0.14,-39.48,-2.87,4.87,6.98,4.53
108,41.74,1007.1,-31.56,-3.34,-2.41,0.55,-36.38,-4.92,3.31,6.98,4.53
125,41.77,1006.16,-5.76,-5.04,-3.81,0.88,-31.06,-3.19,3.3,6.98,4.53
142,41.81,1006.62,-18.39,-6.82,-5.52,1.66,-29.22,-2.16,2.58,6.98,4.53
159,41.84,1006.06,-3.02,-8.76,-7.31,2.66,-24.7,-2.17,2.59,6.98,4.53
176,41.86,1005.84,3.02,-10.89,-9.27,3.94,-23.74,-1.75,2.27,6.98,4.53
193,41.89,1006.05,-2.75,-13.29,-11.41,4.96,-21.66,-1.64,2.18,25,25
210,41.93,1006.25,-8.24,-15.84,-13.77,6.53,-21.05,-1.14,2.07,25,25
227,41.98,1006.24,-7.96,-18.48,-16.3,8.08,-20.08,-0.07,-0.29,25,25
244,42,1006.03,-2.2,-21.27,-18.63,9.72,-19.14,1.09,-1.24,25,25
261,42.03,1006.11,-4.39,-23.96,-20.96,11.44,-20.35,2.1,-1.61,25,25
278,42.06,1006.31,-9.88,-26.51,-23.04,13.24,-20.87,3.02,-1.07,25,25
295,42.1,1006.26,-8.51,-28.94,-25.03,15.05,-20.04,2.86,-0.81,25,25
312,42.13,1006.08,-3.57,-31.4,-26.94,16.92,-19.79,2.89,-0.99,25,25
329,42.17,1006.16,-5.76,-33.77,-28.52,18.64,-19.5,2.79,-1.34,25,25
346,42.22,1006.15,-5.49,-35.98,-29.9,20.2,-18.79,2.74,-1.17,25,25
363,42.23,1005.93,0.55,-38.14,-31.23,21.93,-19.34,2.72,-1.02,25,25
380,42.27,1006.14,-5.22,-40.29,-32.4,23.65,-18.54,3.11,-0.75,25,25
397,42.3,1005.96,-0.27,-42.45,-33.06,24.87,-19.25,2.83,-0.93,25,25
414,42.35,1006.08,-3.57,-44.64,-33.46,26.16,-17.51,3.35,-1.57,25,25
431,42.39,1006.03,-2.2,-46.76,-33.83,27.29,-17.85,2.79,-1.54,25,25
448,42.42,1005.98,-0.82,-48.9,-33.87,28.07,-17.08,2.69,-1.32,25,25
465,42.46,1006.05,-2.75,-51.19,-33.44,28.5,-17.47,2.76,-1.56,25,25
482,42.49,1005.88,1.92,-53.38,-32.5,28.37,-16.7,2.3,-1.71,25,25
499,42.52,1005.95,0,-55.59,-31.31,28.19,-17.5,2.9,-1.83,25,25
516,42.54,1005.48,12.91,-57.7,-29.46,27.63,-17.04,2.74,-1.18,25,25
533,42.58,1006.07,-3.29,-59.88,-26.69,26.14,-18.01,3.07,-1.02,25,25
550,42.61,1005.77,4.94,-62.06,-23.32,24.03,-17.51,2.92,-0.76,25,25
567,42.64,1005.72,6.32,-63.86,-18.74,20.77,-17.19,2.77,-1.18,25,25
584,42.68,1005.79,4.39,-65.62,-13.01,16.45,-16.76,2.47,-1.71,25,25
601,42.7,1005.7,6.87,-67.33,-5.78,10.78,-17.47,2.62,-1.65,25,-25
618,42.73,1005.91,1.1,-68.36,3.36,3.12,-17.83,2.12,-2.03,25,-25
635,42.75,1005.69,7.14,-68.83,13.7,-5.72,-18.13,1.87,-0.63,25,-25
652,42.78,1005.77,4.94,-68.53,24.78,-15.27,-16.63,2.38,-0.42,25,-25
669,42.8,1005.81,3.84,-67.43,35.49,-24.38,-17.38,1.89,1.05,25,-25
686,42.83,1005.76,5.22,-65.56,45.73,-32.79,-17.27,1.27,1.8,25,-25
703,42.85,1005.8,4.12,-63.09,55.37,-40.37,-18.64,1.02,2.84,25,-25
720,42.87,1005.84,3.02,-60.1,64.37,-47.01,-18.47,0.6,4.57,25,-25
737,42.88,1005.62,9.06,-56.7,72.64,-52.17,-18.16,0.54,4.31,25,-25
754,42.92,1005.44,14.01,-52.94,80.04,-56.43,-18.29,-0.05,4.7,25,-25
771,42.93,1005.35,16.48,-48.57,87.2,-59.63,-19.11,-0.46,4.85,25,-25
788,42.95,1005.52,11.81,-43.88,93.93,-61.96,-18.61,-0.7,4.06,25,-25
805,42.97,1005.56,10.71,-39,100.21,-63.61,-19.86,-1.07,5.1,-25,-25
822,42.98,1005.72,6.32,-33.64,106.28,-64.19,-20.49,-1.28,4.51,-25,-25
839,43,1005.38,15.66,-27.71,111.92,-63.95,-20.58,-3.36,5.81,-25,-25
856,43,1005.89,1.65,-21.65,117.67,-63.06,-19.71,-3.78,5.27,-25,-25
873,43.02,1005.93,0.55,-15.61,123.34,-61.32,-18.98,-5.18,4,-25,-25
890,43.04,1005.71,6.59,-9.62,129.13,-58.98,-19.19,-6.44,4.59,-25,-25
907,43.05,1005.62,9.06,-3.92,134.71,-55.88,-16.06,-13.8,6.24,-25,-25
924,43.07,1005.54,11.26,1.37,140.12,-52.42,-13.97,-7.58,6.98,-25,-25
941,43.09,1005.83,3.3,6.1,145.57,-48.37,-17.89,-7.81,5.44,-25,-25
958,43.1,1006,-1.37,10.49,151.02,-43.62,-17.27,-8.03,6.03,-25,-25
975,43.1,1005.74,5.77,14.23,156.53,-38.32,-16.71,-7.13,6.35,-25,-25
992,43.1,1005.74,5.77,17.34,162.24,-32.63,-16.89,-7.17,6.43,-25,-25
1009,43.12,1005.78,4.67,19.93,168.01,-26.7,-17.4,-7.02,5.98,-25,-25
1026,43.14,1006.07,-3.29,21.66,173.93,-20.43,-15.53,-6.83,5.34,-25,-25
1043,43.14,1006.07,-3.29,22.75,179.6,-13.91,-16.68,-6.79,5.54,-25,-25
1060,43.16,1006.11,-4.39,23.37,-174.73,-7.63,-15.92,-5.37,5.44,-25,-25
1077,43.16,1005.86,2.47,23.57,-169.62,-0.89,-16.76,-5.82,5.76,-25,-25
1094,43.16,1005.73,6.04,22.97,-164.79,5.31,-16.9,-5.33,5.23,-25,-25
1111,43.17,1005.9,1.37,22.11,-160.49,11.29,-16.14,-5.67,5.81,-25,25
1128,43.17,1006.02,-1.92,20.91,-156.73,16.9,-15.94,-5.54,5.53,-25,25
1145,43.17,1006.02,-1.92,19.53,-153.45,22.59,-15.73,-5.61,6.52,-25,25
1162,43.17,1005.9,1.37,18.18,-150.74,27.8,-16.11,-4.3,2.77,-25,25
1179,43.19,1005.93,0.55,16.6,-148.69,32.83,-15.31,-5.54,4.95,-25,25
1196,43.19,1005.93,0.55,15.18,-146.96,37.7,-16.4,-3.57,1.26,-25,25
1213,43.19,1005.93,0.55,14.13,-145.43,42.41,-16.12,-4.48,1.46,10.33,25
1230,43.21,1005.97,-0.55,13.58,-144.13,46.9,-15.32,-4.07,-0.05,10.33,25
1247,43.21,1006.1,-4.12,13.36,-143.01,51.25,-15.19,-3.52,-0.52,10.33,25
1264,43.21,1006.1,-4.12,13.59,-141.87,55.35,-16.11,-3.88,0.45,10.33,25
1281,43.21,1005.97,-0.55,14.18,-140.76,59.31,-15.3,-0.84,1.17,10.33,25
1298,43.21,1005.84,3.02,15.04,-139.34,63.29,-14.68,-0.7,1.35,10.33,25
1315,43.21,1005.84,3.02,16.08,-137.32,67.49,-15.41,0.4,0.26,-21.42,25
1332,43.21,1005.97,-0.55,17.1,-135.36,71.27,-17.71,0.92,0.56,-21.42,25
1349,43.21,1005.84,3.02,18.13,-133.2,75.61,-15.75,0.31,0.66,-21.42,25
1366,43.21,1005.97,-0.55,19.51,-130.65,80.04,-15.45,-2.37,1.12,-21.42,25
1383,43.21,1005.97,-0.55,21.03,-127.92,84.24,-12.38,-9.27,0.39,-21.42,25
1400,43.21,1005.97,-0.55,22.88,-124.83,88.69,-15.74,-2.83,0.31,-21.42,25
1417,43.21,1005.97,-0.55,25.17,-121.46,93.3,-15.59,-1.83,0.73,-25,25
1434,43.21,1005.84,3.02,27.68,-117.73,98.03,-15.12,-1.6,-0.16,-25,25
1451,43.21,1005.97,-0.55,30.65,-113.4,103.18,-15.96,-0.88,0.43,-25,25
1468,43.21,1005.97,-0.55,33.39,-108.11,108.83,-16.9,-0.89,0.07,-25,25
1485,43.22,1006.01,-1.65,36.21,-102.09,114.89,-17.81,-1,-0.45,-25,25
1502,43.21,1005.84,3.02,38.8,-94.96,121.76,-18.43,-0.59,0.08,-25,25
1519,43.21,1005.84,3.02,40.98,-86.79,129.8,-17.41,-1.22,-0.29,-25,-16.63
1536,43.22,1006.14,-5.22,42.73,-77.53,138.59,-18.71,0.12,-0.15,-25,-16.63
