Time,Temperature,Pressure,Altitude,Pitch,Yaw,Roll,AccelX,AccelY,AccelZ,ServoX,ServoY
1553,43.21,1005.97,-0.55,43.75,-67.36,148.12,-18.99,-0.41,-0.45,-25,-16.63
1570,43.21,1006.23,-7.69,43.86,-56.38,158.27,-19.01,-0.96,-0.9,-25,-16.63
1587,43.21,1006.48,-14.55,42.82,-45.29,168.33,-20.81,-1.2,1.19,-25,-16.63
1604,43.21,1006.23,-7.69,41.03,-34.11,177.98,-21.51,-0.95,1.7,-25,-16.63
1621,43.21,1006.23,-7.69,38.34,-23.4,-172.95,-21.23,-0.7,3.83,-25,-25
1638,43.21,1006.36,-11.26,34.97,-13.33,-164.57,-21.09,-2.15,3.02,-25,-25
1655,43.19,1006.57,-17.02,31.31,-3.61,-156.61,-21.96,-1.83,4.07,-25,-25
1672,43.14,995.74,281.52,32.57,5.26,-142.01,-156.91,-156.91,-156.91,-25,-25
1689,43.21,1006.1,-4.12,39.07,-19.96,-132.22,-10.04,-31.34,-87.46,-25,-25
1706,43.21,1006.48,-14.55,41.28,-44.79,-124.79,-26.16,-14.48,3.02,-25,-25
1723,43.19,1005.93,0.55,39.1,-68.5,-115.86,-16.98,26.6,-11.69,-25,25
1740,43.19,1006.32,-10.16,33.66,-87.71,-102.71,-13.83,-36.45,-21.37,-25,25
1757,43.19,1006.06,-3.02,25.84,-103.85,-85.11,-26.38,-16.33,-8.01,-25,25
1774,43.21,1008.78,-77.62,26.18,-105.46,-51.32,28.86,156.91,-63.17,-25,25
1791,43.19,1006.44,-13.45,23.07,-103.85,-19.9,-36.27,-13.59,-14.03,-25,25
1808,43.17,1005.9,1.37,18.97,-101.97,14.73,-19.71,-22.93,12.31,-25,25
1825,43.17,1006.02,-1.92,14.82,-100.88,49.24,-17.38,-30.15,-14.85,25,25
1842,43.17,1005.9,1.37,10.5,-100.57,83.75,-9.73,-23.8,-9.23,25,25
1859,43.16,1006.49,-14.82,4.49,-97.24,113.65,-1.83,-14.93,-5.32,25,25
1876,43.16,1006.24,-7.96,-0.19,-96.93,144.79,-3.94,-15.04,-2.3,25,25
1893,43.16,1006.11,-4.39,-5.09,-96.05,177.35,-7.47,-18.39,-9.8,25,25
1910,43.16,1006.37,-11.53,-10.12,-95.11,-153.91,-11.43,-21.29,-4.51,25,25
1927,43.16,1006.11,-4.39,-14.76,-93.34,-125.66,-14.93,-19.11,-5.73,25,25
1944,43.16,1005.98,-0.82,-19.38,-90.04,-94.84,-18.43,-16.82,-8.62,25,25
1961,43.14,1005.95,0,-24.72,-86.1,-69.08,-25.53,-14.58,-12.31,25,25
1978,43.14,1005.56,10.71,-30.64,-80.83,-43.59,6.16,-8.87,-67.27,25,25
1995,43.14,1007.09,-31.29,-35.94,-84.85,-46.47,-40.58,60.14,-54.83,25,25
2012,43.14,1005.31,17.58,-40.44,-86.43,-57.25,-156.91,156.91,-107.99,25,25
2029,43.12,1005.65,8.24,-47.06,-74.17,-81.57,38.15,22.92,12.6,25,17.98
2046,43.12,1005.52,11.81,-50.89,-72.16,-99.02,-68.8,-20.68,-5.13,25,17.98
2063,43.1,1005.23,19.78,-54.18,-70.2,-114.57,-15.35,-7.16,-5.44,25,17.98
2080,43.12,1005.91,1.1,-57.3,-69.04,-130.41,-29.34,-7.25,-0.39,25,17.98
2097,43.1,1004.97,26.92,-62.17,-69.47,-143.19,-10.04,3.38,-6.45,25,17.98
2114,43.1,1003.83,58.26,-66.05,-69.45,-154.39,-14.81,3.72,4.1,25,17.98
2131,43.1,1001.15,132.06,-68.2,-68.75,-170.8,-12,9.43,-8.17,25,25
2148,43.09,1005.96,-0.27,-72.29,-66.01,172.37,-16.57,0.1,-3.19,25,25
2165,43.09,1005.06,24.45,-75.06,-59.19,148.25,-5.62,7.14,7.04,25,25
2182,43.09,1005.06,24.45,-77.73,-35.95,102.44,-14.53,-7.88,10.53,25,25
2199,43.07,1003.62,64.04,-77.41,-12.72,54.04,-11.1,2.45,24.12,25,25
2216,43.07,1004.77,32.42,-76.97,-4.77,11.8,-19.83,38.01,-60.51,25,25
2233,43.07,1005.28,18.4,-78.49,1.45,-28.76,-2.6,-22.33,-33.57,25,-25
2250,43.07,1005.15,21.97,-81.35,13.28,-74.92,-3.72,-19.86,-26.9,25,-25
2267,43.05,1004.73,33.52,-82.72,29.96,-125.93,-5.2,-25.23,-30.21,25,-25
2284,43.05,1007.15,-32.94,-84.01,46.22,-176.58,0.57,-9.69,-38.91,25,-25
2301,43.05,1005.62,9.06,-84.04,58.41,138.18,-13.96,0.93,-35.24,25,-25
2318,43.05,1006.26,-8.51,-84.49,49.38,112.77,-10.27,-3.39,-25.36,25,-25
2335,43.05,1005.75,5.49,-84.42,18.93,108.93,-12.58,-17.84,-34.04,25,-25
2352,43.02,1004.53,39.01,-82.03,-28.59,121.62,-4.13,-17.83,-26.16,25,-25
2369,43.04,1005.46,13.46,-79.22,-35.21,93.67,-5.76,-22.54,-23.84,25,-25
2386,43,1005.64,8.51,-75.9,-43.49,67.49,-17.75,-27.81,-34.24,25,-25
2403,43,1006.4,-12.35,-74.55,-52.46,41.68,22.09,-44.74,-42.77,25,-25
2420,43,1006.4,-12.35,-78.07,-60.7,15.18,-1.33,-24.26,-28.21,25,-25
2437,42.98,1005.21,20.33,-83.87,-81.2,0.91,-0.19,-22.01,-32.34,25,25
2454,42.98,1005.72,6.32,-85.63,-138.93,23.91,11.7,-17.65,-30.32,25,25
2471,42.98,1006.36,-11.26,-82.57,-178.32,28.63,3.99,38.31,-16.26,25,25
2488,42.97,1008.11,-59.26,-82.99,-177.16,-6.55,-2.64,-19.35,-25.03,25,25
2505,42.95,1006.8,-23.33,-85.27,-174.76,-41.75,-8.3,-41.11,-21.87,25,25
2522,42.95,1006.29,-9.33,-87.22,-146.79,-104.16,-14.62,-39.94,-29.27,25,25
2539,42.95,1004.75,32.97,-87.82,-95.64,170.31,-16.87,-20.5,-22.88,25,25
2556,42.95,1005.26,18.95,-86.38,-57.87,98.09,-5.93,-25.58,-30.2,25,25
2573,42.95,1005.65,8.24,-84.98,-68.89,74.6,-9.16,-18.27,-35.41,25,25
2590,42.95,1006.29,-9.33,-84.65,-79.27,50.45,-15.6,-19.84,-28.74,25,25
2607,42.95,1005.52,11.81,-83.23,-82.24,18.92,-9.31,-15.93,-21.54,25,25
2624,42.97,1006.2,-6.86,-81.81,-111.54,13.45,-0.17,0.89,-3.35,25,25
2641,42.97,1013.72,-212.7,-81.31,-124.48,-6.14,-12.12,-36.48,-9.35,25,25
2657,42.97,1006.32,-10.16,-81.66,-133.63,-31.58,2.31,-34.29,-21.06,25,25
2674,42.97,1006.58,-17.3,-82.75,-140.81,-58.96,17.57,-18.18,-37.71,25,25
2691,42.98,1007.13,-32.39,-84.8,-142.69,-91.57,1.28,-45.56,-19.86,25,25
2708,42.98,1005.72,6.32,-86.15,-128.4,-140.3,10.85,-26.62,-32.27,25,25
2725,42.98,1007,-28.82,-86.15,-102.99,159.84,9.96,-14.22,-40.22,25,25
2742,43,1006.78,-22.78,-85.04,-92.05,114.45,3.61,-16.64,-25.97,25,-3.06
2759,43,1006.66,-19.49,-83.7,-96.76,84.64,3.72,-15.64,-24.78,25,-3.06
2776,43,1006.53,-15.92,-82.76,-106.04,59.38,5.35,-16.41,-19.08,25,-3.06
2793,43,1006.53,-15.92,-81.87,-115.28,34.04,6.36,-23.58,-14.67,25,-3.06
2810,43,1006.4,-12.35,-81.42,-124.01,8.2,3.69,-48.67,3.8,25,-3.06
2827,43.02,1006.82,-23.88,-82.26,-139.83,-10.64,3.54,-38.32,-13.18,25,-3.06
2844,43.02,1006.57,-17.02,-83.53,-156.36,-28.72,13.48,-29.85,-28.94,25,25
2861,43.02,1006.69,-20.31,-84.9,-176.78,-42.9,8.62,-23.35,-31.41,25,25
2878,43.02,1006.44,-13.45,-86.18,163.81,-58.02,7.01,-15.96,-28.94,25,25
2895,43.04,1006.99,-28.55,-88.32,152.58,-81.31,6.34,-15.42,-24.14,25,25
2912,43.02,1006.31,-9.88,-89,-54.73,91.53,8.41,-10.59,-17.33,25,25
2929,43.02,1006.57,-17.02,-86.84,-56.31,58.57,7.14,-12.77,-14.87,25,25
2946,43.04,1006.35,-10.98,-85.6,-62.67,30.46,4.98,-17.66,-13.87,25,-25
2963,43.04,1006.61,-18.12,-85.02,-70,3.28,2.39,-26.09,-13.53,25,-25
2980,43.05,1006.64,-18.94,-85.4,-76.9,-24.32,1.58,-25.67,-12.33,25,-25
2997,43.04,1006.73,-21.41,-86.89,-82.85,-52.88,2.2,-23.44,-19.2,25,-25
3014,43.04,1006.73,-21.41,-88.77,-70.44,-99.77,9.53,-32.84,-25.41,25,-25
3031,43.05,1006.52,-15.65,-88.18,98.61,56.68,16.54,-18.95,-39.15,25,-25
3048,43.04,1006.48,-14.55,-86.13,85.95,35.21,13.02,-11.58,-28.1,25,-25
3065,43.04,1006.73,-21.41,-85.28,65.44,23.69,8.09,-3.58,-17.78,25,-25
3082,43.05,1006.64,-18.94,-84.55,45.19,14.11,8.53,-6.74,-9.88,25,-25
3099,43.05,1006.77,-22.51,-83.81,26.57,4.01,2.44,-4.77,-9.23,25,-25
3116,43.05,1006.52,-15.65,-82.89,12.52,-10.22,0.98,-7.5,-6.39,25,-25
3133,43.05,1006.77,-22.51,-82.27,1.28,-26.23,1.16,-10.16,-4.25,25,-25
3150,43.05,1006.77,-22.51,-81.94,-4.26,-46.48,1.7,-13.22,-0.29,25,25
3167,43.05,1006.9,-26.08,-82.17,-6.18,-69.21,0.1,-17.15,5.77,25,25
3184,43.04,1006.86,-24.98,-83.2,-1.57,-95.87,0.95,-22.32,3.79,25,25
3201,43.04,1006.73,-21.41,-84.75,13.36,-131.56,3.07,-18.18,-5.5,25,25
3218,43.05,1006.39,-12.08,-85.66,36.47,-173.96,3.06,-17.69,-6.88,25,25
3235,43.04,1006.48,-14.55,-85.75,61.38,143.79,0.49,-14.52,-8.45,25,25
3252,43.05,1006.77,-22.51,-85.32,77.4,111.5,0.41,-10.86,-9.97,25,-25
3269,43.04,1006.48,-14.55,-84.5,86.85,86.7,2.1,-9.83,-10.13,25,-25
3286,43.05,1006.64,-18.94,-83.82,91.57,67.33,-0.28,-5.32,-10.45,25,-25
3303,43.04,1006.73,-21.41,-83.34,89.37,55.75,-0.28,-3.73,-9.1,25,-25
3320,43.04,1006.61,-18.12,-83.01,84.04,48.14,2.53,-2.02,-7.04,25,-25
3337,43.04,1006.48,-14.55,-82.71,77.23,42.73,0.64,0.16,-7.36,25,-25
3354,43.04,1006.61,-18.12,-82.52,71.01,37.52,2.45,2.23,-6.44,25,-25
3371,43.04,1006.86,-24.98,-82.43,64.9,33.01,0.7,5.06,-7.22,25,-25
3388,43.04,1006.61,-18.12,-82.51,59.5,28.66,0.56,8.16,-7.65,25,-25
3405,43.04,1006.86,-24.98,-82.63,55.21,24.33,2.72,8.84,-5.7,25,-25
3422,43.04,1006.86,-24.98,-82.5,47.74,23.75,2.29,10.13,5.35,25,-25
3439,43.04,1006.35,-10.98,-82.38,43.16,21.2,-0.78,15.06,0.24,25,-25
3456,43.02,1006.31,-9.88,-82.36,38.44,19.21,5.39,8.86,0.94,25,25
3473,43.02,1006.57,-17.02,-82.51,35.66,15.95,0.55,10.87,-0.06,25,25
3490,43.02,1006.69,-20.31,-82.6,33.74,12.97,0.49,5.64,-1.54,25,25
3506,43.02,1006.82,-23.88,-82.59,31.64,11.42,0,10.91,2.94,25,25
3523,43.02,1006.57,-17.02,-82.54,30.81,9.63,1.49,6.83,2.02,25,25
3540,43.02,1006.69,-20.31,-82.58,30.44,8.57,0.42,9.64,2.82,25,25
3557,43.02,1006.57,-17.02,-82.46,30.43,8.29,-0.29,9.98,1.34,25,-4.35
3574,43.02,1006.57,-17.02,-82.45,30.77,8.4,-0.57,8.08,2.88,25,-4.35
3591,43,1006.53,-15.92,-82.46,32.33,7.94,0.47,9.15,1.36,25,-4.35
3608,43,1006.53,-15.92,-82.57,33.24,8.54,0.44,8.95,1.11,25,-4.35
3625,43,1006.66,-19.49,-82.66,33.32,10.16,-0.02,10.07,0.08,25,-4.35
3642,43,1006.53,-15.92,-82.76,34.03,11.34,-2.11,9.86,-0.35,25,-4.35
3659,42.98,1006.62,-18.39,-82.77,35.26,12,0.13,10.69,-1.56,25,-25
3676,43,1006.53,-15.92,-82.81,37.76,11.13,2.21,13.05,-4.38,25,-25
3693,43,1006.66,-19.49,-82.71,38.21,12.06,1.35,10.09,-3.07,25,-25
3710,42.98,1006.87,-25.25,-82.79,37.92,13.24,-1.05,6.89,-1.81,25,-25
3727,42.98,1006.75,-21.96,-82.88,39.19,12.64,1.04,9.78,-2.62,25,-25
3744,42.98,1006.49,-14.82,-82.9,38.43,13.76,1.67,10.12,-2.94,25,-25
3761,42.98,1006.75,-21.96,-82.94,38.57,13.81,0.38,9.85,-2.29,25,-25
3778,42.98,1006.62,-18.39,-82.83,38.61,13.75,-0.69,9.98,-2.34,25,-25
3795,42.98,1006.62,-18.39,-82.84,39.93,12.36,0.1,9.43,-1.25,25,-25
3812,42.98,1006.49,-14.82,-82.86,40.63,11.61,0.32,10.31,-2.29,25,-25
3829,42.97,1006.58,-17.3,-82.9,40.22,11.96,0.85,10.08,-0.1,25,-25
3846,42.97,1006.58,-17.3,-82.93,39.39,12.81,0.6,9.26,-1.56,25,-25
3863,42.97,1006.58,-17.3,-82.91,39.91,12.3,-0.27,9.42,-1.36,25,-25
3880,42.97,1006.58,-17.3,-82.97,39.67,12.54,0.1,9.75,-1.55,25,-25
3897,42.97,1006.71,-20.86,-82.98,40.55,11.69,-0.47,9.41,-1.7,25,-25
3914,42.97,1006.45,-13.73,-83,40.55,11.64,0.3,10.26,-2.39,25,-25
3931,42.97,1006.58,-17.3,-82.98,40.41,11.72,0.49,10.05,-1.97,25,-25
3948,42.97,1006.58,-17.3,-82.96,41.45,10.77,0.07,9.35,-1.61,25,-25
3965,42.97,1006.71,-20.86,-82.96,41.5,10.75,-0.2,10.06,-1.75,25,-25
3982,42.97,1006.58,-17.3,-82.89,40.17,12.09,0.76,9.6,-1.82,25,-25
3999,42.97,1006.83,-24.16,-82.81,40.87,11.45,0.35,9.44,-1.89,25,-25
4016,42.97,1006.96,-27.72,-82.83,41.15,11.17,-0.59,9.69,-1.91,25,-25
4033,42.97,1006.71,-20.86,-82.86,41.11,11.21,0.33,9.55,-1.43,25,-25
4050,42.97,1006.83,-24.16,-82.86,41.8,10.44,-0.22,9.29,-1.98,25,-25
4067,42.97,1006.58,-17.3,-82.92,41.75,10.52,-0.2,9.67,-2.02,25,-25
4084,42.95,1006.92,-26.62,-82.89,42.13,10.27,-1.05,9.44,-1.75,25,-25
4101,42.97,1006.58,-17.3,-82.83,41.14,11.3,0.58,9.55,-2.04,25,-25
4118,42.95,1006.41,-12.63,-82.87,39.62,12.87,-0.23,9.89,-1.89,25,-25
4135,42.95,1006.67,-19.76,-82.86,39.51,13.02,0.14,9.82,-1.83,25,-25
4152,42.95,1006.67,-19.76,-82.86,40.63,11.86,0,9.59,-1.92,25,-25
4169,42.95,1006.54,-16.2,-82.89,40.95,11.55,0.97,9.37,-1.79,25,-25
4186,42.95,1006.54,-16.2,-82.97,42.19,10.28,-0.18,9.59,-1.89,25,-25
4203,42.95,1006.03,-2.2,-82.88,41.58,10.85,0.9,9.79,-2.12,25,-25
4220,42.95,1006.8,-23.33,-82.78,42.01,10.52,0.48,9.75,-1.85,25,-25
4237,42.95,1006.67,-19.76,-82.79,40.92,11.65,0.02,9.54,-1.71,25,-25
4254,42.95,1006.16,-5.76,-82.79,41.6,10.93,1.03,10.18,-1.92,25,-25
4271,42.95,1006.54,-16.2,-82.77,41.84,10.71,1.11,10.04,-1.64,25,-25
4288,42.95,1006.41,-12.63,-82.72,42.12,10.59,0.31,9.93,-1.92,25,-25
4305,42.95,1006.8,-23.33,-82.78,41.65,11.02,-0.16,9.45,-2.04,25,-25
4322,42.95,1006.8,-23.33,-82.84,41.62,11.05,0.13,9.64,-1.76,25,-25
4339,42.95,1006.8,-23.33,-82.83,42.57,10.12,-0.11,9.66,-1.7,25,-25
4356,42.95,1006.8,-23.33,-82.77,42.59,10.16,-0.38,9.74,-1.9,25,-25
4373,42.95,1006.8,-23.33,-82.72,43.31,9.47,-1.09,9.65,-1.97,25,-25
4390,42.95,1006.67,-19.76,-82.68,42.77,10.07,-0.45,9.65,-1.93,25,-25
4407,42.97,1006.58,-17.3,-82.7,43.22,9.6,0.37,9.35,-1.96,25,-25
4424,42.95,1006.8,-23.33,-82.74,43.67,9.08,0.06,9.49,-2.09,25,-25
4441,42.95,1006.67,-19.76,-82.82,43.97,8.74,0.61,9.79,-1.81,25,-25
4458,42.95,1006.54,-16.2,-82.81,44.5,8.24,-0.07,10.02,-1.38,25,-25
4475,42.95,1006.41,-12.63,-82.84,43.47,9.19,0.12,9.76,-1.9,25,-25
4492,42.95,1006.54,-16.2,-82.81,44.06,8.52,0,9.88,-2.38,25,-25
4509,42.97,1006.71,-20.86,-82.71,42.95,9.65,0.23,9.57,-1.74,25,-25
4526,42.95,1006.54,-16.2,-82.66,41.39,11.22,0.41,9.91,-2.19,25,-25
4543,42.95,1006.67,-19.76,-82.67,40.02,12.54,1.24,9.89,-1.93,25,-25
4560,42.97,1006.83,-24.16,-82.68,40.28,12.24,1.66,10.44,-1.62,25,-25
4577,42.95,1005.78,4.67,-81.76,42.69,9.77,-65.04,-28.66,-13.02,25,-25
4594,42.98,1006.36,-11.26,-83.11,38.29,13.73,-16.35,1.77,-1.16,25,-25
4611,43,1006.15,-5.49,-83.94,30.59,21.22,-30.18,-0.28,-19.18,25,-25
4628,43.02,1006.69,-20.31,-84.32,23.2,27.84,-26.74,28.14,3.04,25,-25
4645,43.04,1006.61,-18.12,-84.57,13.47,36.67,11.82,11.22,0.85,25,-25
4662,43.05,1006.52,-15.65,-85.03,12.92,36.4,-3.07,13.76,3,25,-25
4679,43.07,1006.56,-16.75,-85.5,17.11,31.65,-23.8,4.6,-0.13,25,25
4696,43.07,1006.68,-20.04,-85.38,18.57,29.78,-7.79,3.25,2.14,25,25
4713,43.09,1006.59,-17.57,-85.04,16.17,31.64,-12.93,10.95,0.15,25,25
4730,43.1,1006.63,-18.67,-85.07,15.5,31.87,-11.9,16.23,-5.61,25,25
4747,43.12,1006.67,-19.76,-85.12,16.27,31.3,0.5,7.92,0.27,25,25
4763,43.14,1006.71,-20.86,-85.13,16.53,31.17,0.3,9.27,-0.81,25,25
4780,43.16,1006.49,-14.82,-85.02,15.85,32.18,2.25,8.78,0.11,25,-10.89
4797,43.16,1006.62,-18.39,-85.14,16.78,31.67,0.8,12.21,1.18,25,-10.89
4814,43.17,1006.53,-15.92,-85.21,17.03,31.77,-1.63,9.74,-2.13,25,-10.89
4831,43.19,1006.57,-17.02,-85.18,15.86,33.2,0.35,10.85,-1.31,25,-10.89
4848,43.21,1006.61,-18.12,-85.12,15.7,33.51,-0.76,10.24,-1.46,25,-10.89
4865,43.22,1006.65,-19.22,-85.12,15.5,33.78,-0.28,9.67,-1.5,25,-10.89
4882,43.24,1006.69,-20.31,-85.19,16.92,32.49,-0.21,9.92,-1.12,25,-19.01
4899,43.24,1006.69,-20.31,-85.32,19.57,30.02,-0.05,9.49,-1.17,25,-19.01
4916,43.26,1006.73,-21.41,-85.22,19.15,30.58,-0.07,10.02,-1.5,25,-19.01
4933,43.27,1006.64,-18.94,-85.3,18.58,31.12,-0.41,9.49,-1.6,25,-19.01
4950,43.27,1006.64,-18.94,-85.26,20.29,29.44,-0.28,9.63,-1.29,25,-19.01
4967,43.29,1006.55,-16.47,-85.23,19.32,30.43,-0.41,9.76,-1.09,25,-19.01
4984,43.29,1006.55,-16.47,-85.23,20.21,29.49,-0.41,9.74,-1.04,25,-25
5001,43.31,1006.59,-17.57,-85.23,19.94,29.88,-0.24,9.76,-1.03,25,-25
5018,43.33,1006.63,-18.67,-85.25,21.06,28.82,-0.27,9.85,-0.93,25,-25
5035,43.33,1006.63,-18.67,-85.29,21.24,28.62,-0.11,9.77,-1.11,25,-25
5052,43.34,1006.66,-19.49,-85.22,20.08,29.86,-0.28,9.8,-1.22,25,-25
5069,43.34,1006.66,-19.49,-85.11,19.79,30.16,-0.26,9.87,-1.19,25,-25
5086,43.36,1006.58,-17.3,-85.1,18.78,31.13,-0.34,9.65,-0.99,25,-13.45
5103,43.38,1006.74,-21.69,-85.1,17.47,32.41,-0.24,9.74,-1.17,25,-13.45
5120,43.38,1006.61,-18.12,-85.01,17.95,31.98,-0.17,9.83,-1.51,25,-13.45
5137,43.38,1006.49,-14.82,-85.04,19.12,30.84,-0.33,9.31,-1.16,25,-13.45
5154,43.38,1006.61,-18.12,-85.1,18.24,31.77,-0.29,9.5,-1.42,25,-13.45
5171,43.39,1006.65,-19.22,-85.2,18.85,31.15,-0.29,9.92,-1.13,25,-13.45
5188,43.41,1006.56,-16.75,-85.26,19.06,31,-0.29,9.82,-1.23,25,-18.87
5205,43.41,1006.56,-16.75,-85.31,18.09,31.88,-0.3,9.95,-1.1,25,-18.87
5222,43.41,1006.56,-16.75,-85.31,16.29,33.72,-0.31,9.97,-1.19,25,-18.87
5239,43.43,1006.73,-21.41,-85.27,16.45,33.52,-0.23,9.99,-1.13,25,-18.87
5256,43.43,1006.73,-21.41,-85.25,14.97,34.97,-0.25,9.71,-1.15,25,-18.87
5273,43.43,1006.6,-17.84,-85.15,14.04,35.86,-0.3,9.74,-1.18,25,-18.87
5290,43.44,1006.64,-18.94,-85.14,14.5,35.38,-0.39,9.8,-1.3,25,0.13
5307,43.44,1006.64,-18.94,-85.21,15.76,34.14,-0.11,9.79,-1.15,25,0.13
5324,43.44,1006.51,-15.37,-85.21,15.57,34.37,-0.45,10.05,-0.97,25,0.13
5341,43.44,1006.51,-15.37,-85.3,15.81,34.18,-0.56,9.68,-1.47,25,0.13
5358,43.46,1006.55,-16.47,-85.28,16.94,33.05,0.4,9.68,-1.28,25,0.13
5375,43.48,1006.59,-17.57,-85.24,16.34,33.65,0.19,9.85,-1.37,25,0.13
5392,43.48,1006.72,-21.14,-85.11,16.36,33.63,-0.41,9.89,-1.13,25,-20.98
5409,43.48,1006.59,-17.57,-85.17,15.14,34.82,-0.19,9.63,-0.99,25,-20.98
5426,43.48,1006.72,-21.14,-85.24,16.47,33.46,-0.23,9.58,-0.89,25,-20.98
5443,43.48,1006.59,-17.57,-85.16,15.92,34.04,-0.88,9.91,-1.06,25,-20.98
5460,43.5,1006.63,-18.67,-85.12,15.15,34.89,-0.32,9.21,-0.96,25,-20.98
5477,43.5,1006.63,-18.67,-85.22,16.89,33.12,-0.76,9.67,-1.19,25,-20.98
5494,43.5,1006.76,-22.23,-85.22,16.38,33.51,-0.33,9.7,-1.28,25,-15.53
5511,43.51,1006.67,-19.76,-85.29,17.31,32.55,-0.11,9.82,-1.13,25,-15.53
5528,43.51,1006.67,-19.76,-85.29,17.02,32.81,-0.18,9.65,-1.27,25,-15.53
5545,43.5,1006.63,-18.67,-85.33,16.67,33.16,-0.26,9.66,-1.3,25,-15.53
5562,43.51,1006.67,-19.76,-85.38,16.73,33.13,-0.33,9.88,-1.26,25,-15.53
5579,43.51,1006.67,-19.76,-85.28,17.4,32.55,-0.36,9.7,-1.14,25,-15.53
5596,43.51,1006.67,-19.76,-85.3,17.44,32.41,-0.38,9.82,-1.28,25,-19.76
5613,43.51,1006.67,-19.76,-85.37,17.37,32.48,-0.3,9.63,-1.11,25,-19.76
5630,43.51,1006.67,-19.76,-85.34,18.08,31.76,-0.4,9.63,-1.23,25,-19.76
5647,43.51,1006.54,-16.2,-85.38,17.95,31.88,-0.34,9.82,-1.2,25,-19.76
5664,43.51,1006.67,-19.76,-85.34,18.61,31.29,-0.3,9.85,-1.16,25,-19.76
5681,43.53,1006.71,-20.86,-85.15,17.8,32.12,-0.17,9.83,-1.18,25,-19.76
5698,43.51,1006.54,-16.2,-85.1,19.15,30.81,-0.15,9.68,-1.22,25,-23.44
5715,43.53,1006.71,-20.86,-85.08,19.3,30.69,-0.34,9.83,-1.25,25,-23.44
5732,43.53,1006.58,-17.3,-85.03,20.19,29.79,-0.29,9.84,-1.01,25,-23.44
5749,43.53,1006.71,-20.86,-85.04,19.15,30.81,-0.29,9.68,-1.12,25,-23.44
5766,43.53,1006.71,-20.86,-85.09,18.1,31.81,-0.34,9.82,-1.19,25,-23.44
5783,43.53,1006.71,-20.86,-85.01,18.44,31.57,-0.34,9.82,-1.16,25,-23.44
5800,43.53,1006.71,-20.86,-84.94,18.73,31.21,-0.39,9.75,-1.26,25,-16.68
5817,43.55,1006.62,-18.39,-84.89,18.67,31.31,-0.29,9.8,-0.91,25,-16.68
5834,43.55,1006.75,-21.96,-84.89,20.06,29.99,-0.47,9.8,-1.14,25,-16.68
5851,43.55,1006.62,-18.39,-84.97,20.6,29.41,-0.31,9.94,-1.26,25,-16.68
5868,43.55,1006.75,-21.96,-84.94,20.44,29.64,-0.34,9.79,-1.34,25,-16.68
5885,43.55,1006.62,-18.39,-84.9,22.43,27.72,-0.24,9.9,-1.18,25,-16.68
5902,43.55,1006.62,-18.39,-84.96,24.44,25.68,-0.37,9.74,-1.16,25,-25
5919,43.56,1006.66,-19.49,-85.06,24.2,25.86,-0.37,9.85,-1.25,25,-25
5936,43.55,1006.62,-18.39,-85.07,22.93,27.09,-0.82,9.88,-0.98,25,-25
5953,43.55,1006.62,-18.39,-85.12,23.76,26.26,-0.25,9.62,-1.12,25,-25
5970,43.55,1006.62,-18.39,-85.1,25.01,25.01,-0.3,9.76,-1.31,25,-25
5987,43.56,1006.66,-19.49,-85.12,25.77,24.28,-0.5,9.72,-1.2,25,-25
6004,43.56,1006.66,-19.49,-85.09,25.39,24.67,-0.41,9.73,-1.16,25,-25
6021,43.55,1006.75,-21.96,-85.28,26.68,23.39,-0.25,9.84,-1.15,25,-25
